Key;Type;Desc;English;French;Spanish;German;Italian
Encyclo/#Dance_Title;Text;;Dance;Danse;Danza;Tanz;Danza
Encyclo/#Defenses_Content;Text;;"Egypt protected its cities and towns with walls and towers. Walls were generally made of brick and were built either in the form of a quadrangle or a circle around the town. Excavations at Abu (Elephantine), located in southern Egypt near the Nubian border, have uncovered a thick, curving wall.  
Egypt defended its borders with a series of fortresses. Among the most well known of these fortresses are the 'Wall of the Prince,' a series of 13 fortresses built along the Nile's east bank.";"L'Égypte protégeait ses cités et ses villes avec des murs et des tours. Les murs étaient généralement en briques et avaient la forme d'un quadrilatère ou d'un cercle entourant la ville. Des fouilles menées à Éléphantine, ville située au sud de l'Égypte, à proximité de la frontière nubienne, ont permis de retrouver un mur épais et arrondi parsemé de tours semi-circulaires. 
L'Égypte défendait ses frontières grâce à des forteresses. Parmi les plus connues, on trouve les « Murs du Prince », un ensemble de treize forteresses construites le long de la rive orientale du Nil.";"Egipto protegía sus ciudades y pueblos con murallas y torres. Generalmente, las murallas eran de ladrillo y se construían en forma cuadrangular o circular alrededor de la ciudad. Las excavaciones llevadas a cabo en Abu (Elefantina), al sur de Egipto, cerca de la frontera con Nubia, han dejado al descubierto una gruesa muralla curvada. 
Egipto defendía sus fronteras con una serie de fortalezas. Entre las más conocidas se encuentra la «muralla del príncipe», una serie de trece fortalezas construidas a lo largo de la ribera este del Nilo.";"Ägypten schützte seine Städte durch Mauern und Türme. In der Regel bestanden die Mauern aus Lehmziegeln und umschlossen den Ort entweder in Form eines Vierecks oder eines Kreises. Ausgrabungen auf Abu (Elephantine) im südlichen Ägypten in der Nähe der nubischen Grenze haben eine dicke, gebogene Mauer mit halbkreisförmigen Türmen zutage gefördert.  
Seine Grenzen verteidigte Ägypten mit einer ganzen Reihe von Festungen. Zu den berühmtesten Verteidigungsanlagen zählen die „Mauern des Herrschers“, ein Gürtel aus 13 Festungen, der sich am Ostufer des Nils entlangzieht.";"L'Egitto proteggeva le sue città con torri e mura. Le mura erano generalmente in mattoni ed erano disposte a cerchio o a quadrato attorno alla città. Gli scavi ad Abu (Elefantina), situata in Egitto meridionale vicino al confine nubiano, hanno rivelato un muro spesso e curvo.
L'Egitto difendeva i suoi confini con una serie di fortezze. Tra le più famose citiamo il ""muro del principe"", una serie di 13 fortezze costruite lungo la sponda orientale del Nilo."
Encyclo/#Defenses_Title;Text;;Defensive Structures;Structures défensives;Estructuras de defensa;Verteidigungsanlagen;Strutture di difesa
Encyclo/#Dentistry_Content;Text;;"Dentistry was one of many fields that an ancient Egyptian doctor could practice. Remains of ancient Egyptians indicate that dentists were fighting an uphill battle. Tooth decay was promoted by omnipresent sand. Sand worked its way into everything, including food, and constantly crunching on sand quickly wore down the Egyptians' teeth. Tooth wear often led to abscesses, which could cause the tooth to fall out and could even cause death. 
Medical papyri detail the actions dentists took to treat specific problems. For example, if a tooth fell out, the dentist bound the tooth to a neighboring tooth with gold or silver wire. There is even a recipe for fillings, involving mixing resin and malachite, but archaeologists have found no remains of teeth with the fillings still intact. 
Archeologists have uncovered tools that they believe were used as toothbrushes. Thus far, no discoveries of ancient Egyptian floss have been reported.";"La dentisterie était l'une des nombreuses disciplines exercées par les médecins dans l'Égypte antique. L'analyse des dents de cette période indique que les dentistes menaient une lutte inégale. L'omniprésence du sable favorisait la formation de caries. Le sable s'infiltrait partout, y compris dans la nourriture, et attaquait les dents. Ces problèmes dentaires provoquaient souvent des abcès, provoquant la perte de dents, voire la mort. 
Les papyrus médicaux détaillent les modes de traitement employés par les dentistes. Si une dent tombait, par exemple, le dentiste la rattachait à une autre avec un fil d'or ou d'argent. Il existait même une recette de plombage consistant à mélanger de la résine et de la malachite, mais les archéologues n'ont trouvé aucune dent au plombage intact. 
Les archéologues ont retrouvé des outils qui servaient probablement de brosse à dents. Aucune espèce de fil dentaire datant de cette époque n'a été identifiée à ce jour.";"La odontología era uno de los muchos campos en los que podían ejercer los médicos del antiguo Egipto. Los restos encontrados indican que los dentistas libraban una ardua batalla. La omnipresente arena aceleraba el deterioro de los dientes. La arena se metía en todas partes, incluso en la comida, y su masticación continua desgastaba los dientes de los egipcios con rapidez. El deterioro de las piezas dentales daba lugar a abscesos, que podían provocar la caída de los dientes e incluso la muerte. 
Los papiros médicos detallan las medidas tomadas por los dentistas para tratar diversos problemas. Por ejemplo, si se caía un diente, el dentista lo ataba al diente contiguo con alambre de oro o plata. Incluso aparece una receta para empastes a base de resina y malaquita, aunque los arqueólogos aún no han encontrado ningún resto que tenga los empastes intactos. 
Los arqueólogos han descubierto herramientas que, en su opinión, podrían ser una especie de cepillos de dientes. Hasta ahora no se ha informado de ningún descubrimiento relacionado con la seda dental en el antiguo Egipto.";"Ein Arzt im alten Ägypten konnte sich auf viele Gebiete spezialisieren - die zahnärztliche Heilkunst war nur eines davon. Die sterblichen Überreste der alten Ägypter lassen vermuten, dass Zahnärzte jedoch auf verlorenem Posten standen, denn Zahnschäden wurden durch den allgegenwärtigen Sand noch verstärkt. Sand wehte in fast alles hinein, auch in Nahrungsmittel – und durch das ständige Beißen auf Sand waren die Zähne bald abgeschliffen. Dies führte oft zu Abszessen, die im besten Fall zum Verlust des Zahns und im schlimmsten Fall zum Tod führten. 
Aus medizinischen Dokumenten erfahren wir detailgenau, wie ein Zahnarzt bestimmte Probleme behandelte. Fiel jemandem beispielsweise einen Zahn aus, band der Zahnarzt diesen mit Gold- oder Silberdraht am benachbarten Zahn fest. Es gibt sogar ein überliefertes Rezept für Füllungen, für die Harz und Malachit vermischt wurden, aber bisher haben Archäologen keine Zähne finden können, in denen diese Füllungen noch intakt waren. 
Im Übrigen wurden bei Ausgrabungen Werkzeuge gefunden, von denen man glaubt, dass sie als Zahnbürsten verwendet wurden. Altägyptische Zahnseide wurde bisher allerdings noch nicht entdeckt.";"L'odontoiatria era uno dei molti campi in cui un dottore egizio poteva specializzarsi. Alcuni antichi resti testimoniano che i dentisti non avevano vita facile. Il decadimento dei denti era accelerato dalla sabbia onnipresente. La sabbia arrivava dappertutto, anche nel cibo, e il suo effetto abrasivo sui denti rovinava in fretta lo smalto protettivo. Le carie dei denti spesso comportavano degli ascessi, che potevano far cadere i denti o portare anche alla morte. 
I papiri medici illustrano come i dentisti affrontavano il loro lavoro. Ad esempio, se un dente cadeva, il dentista lo legava a un dente vicino con filo argento o d'oro. Ci sono anche delle preparazioni per riempire i denti cavi, con resina e malachite, ma gli archeologi non hanno mai trovato un dente che riporti tracce di tali componenti. 
In compenso, gli archeologi hanno trovato degli strumenti che pensano servissero da spazzolini. Per ora, tra le varie scoperte, non sono ancora stati rinvenuti degli antichi fili interdentali."
Encyclo/#Dentistry_Title;Text;;Dentistry;Dentisterie;Dentistas;Zahnärzte;Odontoiatria
Encyclo/#Education_Content;Text;;"Education in ancient Egypt was extremely practical. Each person was educated with a specific career in mind. For many, education meant apprenticeship, and sons were generally apprenticed to their fathers to learn a craft. Some girls, too, were apprenticed to pursue careers as dancers, singers or weavers, but for the most part girls learned the art of managing a household. 
Scribes received the most formal education. Scribal schools, called Per-Ankh or 'house of life,' were connected primarily to temples, but also scribes would have been schooled in the king's palace. Here, would-be scribes learned the written languages, primarily hieratic and, later, demotic, which were used for everyday business. Some were schooled in the arcane hieroglyphs. The scribes learned their craft by copying over manuscripts onto ostraca, or old shards of stone. Only when they had mastered their craft were they entrusted with papyrus. 
Discipline was demanded, and physical punishment frequent. Scribal education generally occurred between the ages of 10 and 20.";"Dans l'Égypte antique, l'éducation était extrêmement pratique. Les individus étaient éduqués en fonction d'une carrière spécifique. L'éducation était souvent synonyme d'apprentissage et les garçons suivaient généralement cet apprentissage chez leur père pour apprendre un métier. Certaines filles apprenaient la danse, le chant ou le tissage. Cependant, la plupart étaient destinées à s'occuper du foyer. 
Les scribes recevaient une éducation extrêmement formelle. Les écoles de scribes, appelées « Per-Ankh », ou « maisons de vie », étaient à l'origine associées aux temples. C'est là que les futurs scribes apprenaient les langues écrites, d'abord le hiératique et, plus tard, le démotique, utilisé dans la vie de tous les jours. Les scribes se formaient en copiant des manuscrits sur des ostracas, ou vieux tessons de poterie. Ce n'est qu'une fois qu'ils maîtrisaient leur art qu'on leur confiait des papyrus. 
Ils étaient soumis à une discipline stricte et les châtiments corporels n'étaient pas rares. L'éducation des scribes se déroulait généralement entre 10 et 20 ans.";"La educación en el antiguo Egipto era extremadamente práctica. Cada persona aprendía un oficio determinado. En muchos casos, la educación equivalía al aprendizaje, y era habitual que los hijos ejercieran de aprendices con sus padres. También algunas mujeres aprendían un oficio, como el de bailarina, cantante o tejedora, pero la mayoría se instruía en el arte de llevar una casa. 
Los escribas recibían la educación más estricta. Las escuelas de escribas, llamadas Per-Anj o «casas de la vida», estaban relacionadas sobre todo con los templos. En ellas, los futuros escribas aprendían las lenguas escritas, en un principio el lenguaje hierático y más adelante el demótico, que se utilizaba para los asuntos cotidianos. Los escribas aprendían su oficio copiando otros manuscritos en ostraca, o viejos fragmentos de piedra. Solo se les permitía el uso del papiro cuando dominaban su profesión. 
Se exigía mucha disciplina, y el castigo corporal era frecuente. La educación de los escribas tenía lugar generalmente entre los diez y los veinte años.";"Das Bildungssystem im alten Ägypten war äußerst praktisch ausgelegt. Jeder Bürger wurde im Hinblick auf einen bestimmten Beruf erzogen. Für viele bedeutete Bildung eine Lehre, und in der Regel gingen Söhne bei ihrem Vater in die Lehre, um ein Handwerk zu erlernen. Einige Mädchen durchliefen ebenfalls eine Lehre – als Tänzerin, Sängerin oder Weberin, aber meist wurden sie in der Kunst unterrichtet, einen Haushalt zu führen. 
Schreiber erhielten am meisten Bildung im herkömmlichen Sinne. Schreiberschulen, auch als Per Anch oder „Lebenshäuser“ bezeichnet, waren meist einem Tempel angeschlossen. Hier lernten zukünftige Schreiber die geschriebenen Sprachen, vor allem die hieratische und später die demotische Schrift, die für die täglichen Geschäfte genutzt wurden. Schreiber lernten ihr Handwerk, indem sie Manuskripte auf Ostraka oder alte Steinscherben kopierten. Erst wenn sie ihr Handwerk beherrschten, vertraute man ihnen Papyrus an. 
Disziplin wurde vorausgesetzt, und körperliche Züchtigung kam häufig vor. Die Ausbildung zum Schreiber erfolgte in der Regel im Alter zwischen 10 und 20 Jahren.";"L'istruzione nell'antico Egitto era estremamente pratica. Ogni individuo seguiva un corso di studi per una professione specifica. Per molti, l'istruzione era sinonimo di apprendistato, e i figli generalmente diventavano apprendisti dei padri per imparare il loro mestiere. Anche alcune ragazze erano apprendiste, per diventare, ad esempio, danzatrici, cantanti o tessitrici, ma la maggior parte apprendeva l'arte della gestione domestica. 
Gli scribi ricevevano un tipo di istruzione più formale. Le scuole degli scribi, chiamate per-ankh o ""casa della vita"", erano principalmente collegate ai templi, ma alcuni scribi venivano istruiti anche nel palazzo reale. Qui, i futuri scribi imparavano le lingue scritte, prima lo ieratico e più tardi il demotico, entrambe utilizzate quotidianamente. Alcuni studiavano anche i geroglifici arcani. Gli scribi imparavano la loro arte copiando i manoscritti sulle ostraca, o vecchi pezzi di pietra. Solo quando dopo aver padroneggiato il mestiere, potevano cimentarsi con i papiri. 
La disciplina era durissima, e i casi di punizioni fisiche erano assai frequenti. L'istruzione degli scribi era generalmente impartita tra i 10 e i 20 anni di età."
Encyclo/#Education_Title;Text;;School and Education;Écoles et éducation;Escuelas y educación;Schulen und Ausbildung;Scuola e istruzione
Encyclo/#Embalmers_Content;Text;;"Embalming is the cornerstone of ancient Egyptian funerary customs. The ka, or spirit, of the deceased needed a place to live in the afterlife and, thus, needed its body. During the embalming process, the body was first rinsed in the waters of the Nile, symbolizing rebirth. Then, internal organs were removed from the corpse and stored in containers called canopic jars. The only organ that was discarded was the brain (which was removed through the nose) because the ancient Egyptians believed that it served no purpose. The canopic jars were entombed with the body. 
After removing the internal organs, the embalmer filled the body cavity with perfumes, oils, and linen and closed the body up. Then, the body was covered in natron, a type of salt. After 70 days, the body was rinsed off, wrapped in linen and smeared with bitumen. The bitumen helped to kill bacteria and fungi that would otherwise work to decompose the body. 
Because of the expense of the embalming process, only the wealthiest citizens were able to afford it.";"L'embaumement est la pierre angulaire des coutumes funéraires de l'Égypte antique. Le « ka », ou esprit du défunt, devait avoir une place dans l'au-delà et il avait besoin pour cela de son corps. Durant la procédure d'embaumement, le corps était dans un premier temps rincé dans les eaux du Nil, symbole de renaissance. Ensuite, les organes internes étaient retirés et stockés dans des conteneurs appelés canopes. Le seul organe que l'on supprimait était le cerveau (que l'on évacuait par les narines), car les Égyptiens antiques étaient persuadés qu'il n'avait aucune utilité. Les vases canopes étaient ensevelis avec le corps. 
Une fois les organes internes retirés, l'embaumeur remplissait la cavité de parfums, d'huiles et de toile, puis la recousait. Ensuite, le corps était recouvert de natron, une espèce de sel. Au bout de 70 jours, le corps était rincé de nouveau, enveloppé dans de la toile et enduit de goudron. Cette substance permettait d'éliminer les bactéries et les champignons qui provoquaient la décomposition. 
En raison du coût de l'embaumement, seuls les citoyens les plus riches pouvaient se l'offrir.";"El embalsamamiento es la piedra angular de las costumbres funerarias de los antiguos egipcios. El ka o espíritu de los muertos necesitaba un lugar donde vivir después de la muerte, por lo que era necesario conservar el cuerpo. El proceso de embalsamamiento comenzaba con el baño del cadáver en agua del Nilo, lo que simbolizaba el renacimiento. A continuación, se sacaban del cuerpo los órganos internos y se guardaban en vasijas funerarias llamadas «vasos canopes». El único órgano que se desechaba era el cerebro, que se extraía por la nariz, ya que los antiguos egipcios no le daban demasiada importancia. Los vasos canopes se sepultaban junto al cadáver. 
Tras retirar los órganos internos, el embalsamador rellenaba la cavidad con perfumes, aceites y lino, y a continuación cosía el cuerpo. Después lo cubría con sales. Al cabo de setenta días, se volvía a enjuagar el cuerpo, se envolvía en lino y se embadurnaba con alquitrán, que impedía la aparición de bacterias y hongos que de otro modo descompondrían el cadáver. 
Solo los ciudadanos más pudientes se podían permitir el embalsamamiento, ya que era un proceso muy costoso.";"Das Einbalsamieren ist der Eckpfeiler der ägyptischen Begräbnisriten. Der Ka, also der Geist des Verstorbenen, brauchte einen Aufenthaltsort im Jenseits – seinen Körper. Während der Einbalsamierung wurde der Körper als Symbol der Wiedergeburt zunächst im Wasser des Nils gereinigt. Danach wurden der Leiche die inneren Organe entnommen und in Behältern aufbewahrt, den sogenannten Kanopen. Das einzige Organ, das weggeworfen wurde, war das Gehirn (das man durch die Nase entfernte), da die Ägypter der Auffassung waren, dass es keinen Zweck erfülle. Die Kanopen wurden zusammen mit der Leiche beerdigt. 
Nach dem Entfernen der inneren Organe füllte der Einbalsamierer die Körperhöhlung mit Parfüm, Öl und Leinen, bevor er den Körper wieder verschloss. Dann wurde der Körper mit Natronsalz bedeckt. Nach 70 Tagen wurde der Körper abgespült, in Leinen eingewickelt und mit Teer eingerieben. Der Teer trug dazu bei, Bakterien und Pilze abzutöten, die ansonsten zur Verwesung des Körpers geführt hätten. 
Da die Einbalsamierung eine sehr teure Angelegenheit war, war sie nur für die reichsten Bürger erschwinglich.";"L'imbalsamazione era la procedura principale dei riti funerari egizi. Il ka, o spirito, del deceduto richiedeva un luogo in cui vivere nell'aldilà e quindi aveva bisogno del suo corpo. Durante il procedimento di imbalsamazione, il corpo veniva prima bagnato nelle acque del Nilo, per simboleggiare la rinascita. Poi venivano rimossi gli organi interni e quindi conservati in piccole giare, i cosiddetti vasi canopici. L'unico organo scartato era il cervello (che veniva aspirato dal naso) in quanto gli antichi egizi credevano che non avesse alcuna funzione. I vasi canopici venivano seppelliti con il corpo. 
Dopo la rimozione degli organi interni, l'imbalsamatore riempiva le cavità del corpo con profumi, oli e tela di lino, quindi lo richiudeva. In seguito, il corpo veniva ricoperto di natron, un tipo di sale. Dopo 70 giorni, il corpo veniva sciacquato, avvolto in bende di lino e ricoperto di catrame. Il catrame aiutava a uccidere i batteri e i funghi che altrimenti ne avrebbero causato la decomposizione. 
Dato l'alto costo dell'imbalsamazione, solo i cittadini più ricchi potevano permettersela."
Encyclo/#Embalmers_Title;Text;;Embalmers;Embaumeurs;Embalsamadores;Einbalsamierer;Imbalsamatori
Encyclo/#Enemies_Content;Text;;"Egypt was in frequent contact with its neighbors, and sometimes relations weren't very friendly. Egypt was invaded several times during its long history and occasionally ruled by non-Egyptians. These non-Egyptians, though, assumed the title of pharaoh, and up until the time of the Persian invasion, Egyptians managed to wrestle back their land. Egypt, though, was not always the one under attack. During the New Kingdom in particular, Egypt sought to expand its empire and invaded many neighboring lands. 
Among the peoples Egypt waged war against are the Nubians and the Kushites. Egypt invaded Nubia fairly early in its history (as early as 2900 BC), mostly to take advantage of Nubia's rich gold and copper resources. During the Third Intermediate Period (ca. 747-656 BC), however, Nubia gained the upper hand, and several Nubian pharaohs ruled Egypt. 
Across the Sinai peninsula, in the Levant, were several peoples with whom Egypt waged war. Among these are the Canaanites, Philistines, Mitannians, Assyrians, Bedouins (from what is now Syria), and the Hittites. The most notable of the Levantine peoples, though, are the Hyksos. During the Second Intermediate Period, the Hyksos ruled Egypt. They retained many of Egypt's cultural practices and introduced many innovations, such as the horse-drawn chariot. The Hyksos ruled Egypt for about 200 years until Ahmose I, an Egyptian king ruling from southern Egypt, defeated them and reunited Upper and Lower Egypt once more. 
To the west, Egypt engaged in war with Libyan tribes, particularly the Tehenu and Temehu. The Tehenu and Temehu attempted to move into the Egyptian Delta, and they were put down strongly by Seti I. <link=""#Defenses_Title""><u>Forts</u></link> were built in the west to help keep the tribes at bay. 
Finally, the powerful Roman Empire reached the shores of Egypt during the rule of the Ptolemies. Egypt's waning military might yet bountiful treasury and granaries (not to mention the beguiling Cleopatra VII) quite naturally attracted the covetous eyes of Julius Caesar and his successors. The arrival of Caesar's Roman legions on Egyptian soil marked a major power shift in the Mediterranean basin which eventually reduced the once-independent and powerful Egypt to a Roman province. 
Click <link=""#Military_Title""><u>here</u></link> for more on Egypt's military.";"L'Égypte était fréquemment en contact avec ses voisins et les relations n'étaient pas toujours amicales. Elle fut envahie à plusieurs reprises durant sa longue histoire et fut parfois gouvernée par des étrangers. Ces personnages usurpaient le titre de pharaon et, jusqu'à l'invasion perse, les Égyptiens réussirent toujours à reconquérir leur terre. L'Égypte, toutefois, n'était pas toujours la victime. Durant le Nouvel Empire notamment, les pharaons s'efforcèrent d'étendre leur empire et envahirent de nombreux pays voisins. 
Parmi les peuples contre lesquels les Égyptiens entrèrent en conflit, on trouve les Nubiens et les Éthiopiens. L'Égypte envahit la Nubie assez tôt dans son histoire (vers 2900 av. J.-C), dans le but de s'emparer des abondantes ressources d'or et de cuivre du pays. La Nubie prit finalement le dessus et une succession de pharaons nubiens régnèrent sur l'Égypte. 
Les Égyptiens entrèrent également en conflit avec plusieurs peuples de la péninsule du Sinaï. Parmi eux, on trouve les Canaéens, les Philistins, les Bédouins (habitants de la Syrie actuelle) et les Hittites. Les plus connus de ces peuples asiatiques restent cependant les Hyksos. Durant la deuxième période intermédiaire, ces derniers gouvernèrent l'Égypte. Ils conservèrent une grande partie des coutumes égyptiennes et introduisirent de nombreuses innovations, telles que le char tiré par des chevaux. Ils restèrent à la tête de l'Égypte pendant environ un siècle, jusqu'à leur défaite aux mains d'Ahmôsis, qui s'empara alors du trône. 
À l'ouest, l'Égypte entra en conflit avec les tribus libyennes, notamment les Tehenu et les Temehu. Ces deux peuples tentèrent de pénétrer à l'intérieur du Delta égyptien et furent battus à plates coutures par Séthi I. Des <link=""#Defenses_Title""><u>forts</u></link> furent construits à l'ouest afin de maintenir les tribus ennemies à distance. 
Enfin, le puissant Empire romain rejoignit les rivages de l'Égypte au cours du règne de Ptolémée. Une fois l'armée égyptienne sur le déclin, ses ennemis, et en particulier Jules César ainsi que ses successeurs, furent naturellement attirés par les greniers et autres trésors (sans parler de la captivante Cléopâtre VII). L'arrivée des légions romaines de César sur le sol égyptien marqua le début de la fin d'une longue histoire de domination égyptienne dans le bassin méditerranéen. L'Égypte, autrefois nation fière, devint un État vassal. 
Cliquez <link=""#Military_Title""><u>ici</u></link> pour en savoir plus sur l'armée égyptienne.";"Egipto mantenía frecuentes contactos con sus vecinos, y a veces las relaciones no eran muy amistosas. A lo largo de su historia, Egipto fue invadido varias veces y gobernado por extranjeros. No obstante, estos extranjeros asumían el título de faraón, y hasta los tiempos de la invasión persa, los egipcios siempre consiguieron recuperar su tierra. Sin embargo, no siempre era Egipto el atacado. En el Imperio Nuevo en particular, Egipto buscó ampliar sus fronteras e invadió muchas tierras vecinas. 
Entre los pueblos a los que hizo la guerra Egipto están los nubios y los cusitas. Egipto invadió Nubia en una fase muy temprana de su historia, aproximadamente en el año 2900 a.C., principalmente para aprovechar sus ricos recursos de oro y cobre. Sin embargo, durante el Tercer Período Intermedio ( 747-656 a.C. aproximadamente), Nubia lo superó en poder y varios faraones nubios gobernaron Egipto. 
A lo largo de la península del Sinaí habitaban varios pueblos a los que Egipto hizo la guerra. Entre esos pueblos estaban los cananeos, los filisteos, los beduinos (habitantes de la actual Siria) y los hititas. Sin embargo, los más notables entre todos esos pueblos asiáticos eran los hicsos. Durante el Segundo Periodo Intermedio, los hicsos gobernaron Egipto. Conservaron muchas de las prácticas culturales egipcias e introdujeron muchas innovaciones, como el carro tirado por caballos. Los hicsos gobernaron Egipto al menos durante unos 200 años, hasta que Amosis I, un rey egipcio que gobernaba desde el sur del país, los derrotó y se hizo con el poder. 
Al oeste, Egipto luchó contra las tribus libias, particularmente con los Tehenu y los Temehu. Estas tribus intentaron trasladarse al delta de Egipto y Seti I las reprimió con dureza. En el oeste se construyeron <link=""#Defenses_Title""><u>fuertes</u></link> para mantener a raya a las tribus. 
Por último, el poderoso Imperio romano llegó a las costas de Egipto durante el reinado de los Ptolomeos. El declive del poderío militar egipcio y los abundantes tesoros y graneros del país (sin olvidar a la cautivadora Cleopatra VII) atrajeron la mirada codiciosa de Julio César y sus sucesores. La llegada de las legiones romanas del césar a suelo egipcio supuso un fundamental traspaso de poder sobre el Mediterráneo, y el otrora orgulloso Egipto se vio reducido a provincia romana. 
Haz clic <link=""#Military_Title""><u>aquí</u></link> para obtener más información sobre el ejército egipcio.";"Ägypten stand in ständigem Kontakt mit seinen Nachbarn. Manchmal waren die Beziehungen jedoch nicht allzu freundschaftlich. Im Verlauf seiner langen Geschichte wurde Ägypten mehrfach überfallen und von Nichtägyptern regiert. Diese Nichtägypter nahmen dann jedoch den Titel eines Pharao an. Und bis zur persischen Invasion gelang es den Ägyptern stets, ihr Land wieder zurückzuerobern. Ägypten war jedoch nicht immer nur Opfer von Angriffen. Vor allem während der Zeit des Neuen Reichs strebte Ägypten danach, seinen Einflussbereich zu vergrößern, und fiel in viele benachbarte Länder ein. 
Unter anderem führte Ägypten Krieg gegen die Nubier und die Kusch. In Nubien fiel Ägypten relativ früh ein (um 2900 v. Chr.), und zwar vor allem, um die reichhaltigen Gold- und Kupferressourcen des Landes für sich zu beanspruchen. Während der Spätzeit (ca. 747-656 v. Chr.) gelang es Nubien jedoch, selbst die Oberhand zu gewinnen, und Ägypten wurde von mehreren nubischen Pharaonen regiert. 
Auf der Halbinsel Sinai gab es ebenfalls mehrere Völker, mit denen Ägypten Krieg führte. Zu diesen gehörten die Kanaaniter, die Philister, die Mittaniten, die Assyrer, die Beduinen (aus dem heutigen Syrien) und die Hethiter. Die wichtigsten dieser asiatischen Völker sind jedoch die Hyksos. Während der zweiten Zwischenzeit herrschten die Hyksos über Ägypten. Sie übernahmen viele der kulturellen Traditionen Ägyptens, führten jedoch gleichzeitig viele Innovationen ein, so z. B. Pferdewagen. Die Hyksos herrschten etwa 100 Jahre lang über Ägypten, bis Ahmose I., ein ägyptischer König aus Südägypten, sie besiegte und die Macht übernahm. 
Im Westen bekriegte Ägypten die libyschen Stämme, insbesondere die Tjehenu und die Tjemehu. Diese versuchten, in das ägyptische Delta zu gelangen, wurden aber von Sethos I. vernichtend geschlagen. Danach errichtete man im Westen <link=""#Defenses_Title""><u>Forts</u></link> , um die Stämme in Schach zu halten. 
Schließlich erreichte das mächtige römische Imperium während der Herrschaft der Ptolemäer die Küsten Ägyptens. Ägyptens schwindende Militärmacht und die immer noch unermesslichen Reichtümer und randvollen Lagerhäuser (nicht zu vergessen die betörende Kleopatra VII.) zogen die gierigen Augen Julius Caesars und seiner Nachfolger geradezu magisch auf sich. Die Ankunft der römischen Legionen auf ägyptischem Boden markierte den Anfang vom Ende der langen Geschichte ägyptischer Herrschaft über den Mittelmeerraum und ließ das einst so stolze Ägypten schließlich zu einem Vasallenstaat werden. 
Näheres über das ägyptische Militär erfahren Sie <link=""#Military_Title""><u>hier</u></link> .";"L'Egitto era in frequente contatto con i suoi vicini e a volte le relazioni non erano molto amichevoli. L'Egitto fu invaso diverse volte nel corso della sua lunga storia e quindi occasionalmente governato da stranieri. Questi stranieri, però, assumevano il titolo di faraone e, fino all'invasione persiana, gli Egizi riuscirono sempre a riottenere la loro terra. Ma non era sempre l'Egitto a essere sotto attacco. Durante il Nuovo Regno, l'Egitto cercò di espandere i propri confini invadendo le nazioni circostanti. 
Tra le popolazioni attaccate ci furono i nubiani e i Kushiti. L'Egitto invase la Nubia abbastanza presto (nel 2900 a.C. circa), più che altro per sfruttare le sue ricche risorse d'oro e di rame. Tuttavia, durante il Terzo periodo intermedio (tra il 747 e il 656 a.C. circa), la Nubia prese il sopravvento e l'Egitto fu governato da parecchi faraoni nubiani. 
L'Egitto entrò in guerra anche con diverse popolazioni oltre la penisola del Sinai. Tra questi ci furono i canaaniti, i filistei, i mitanni, gli assiri, i beduini (allora presenti nella moderna Siria) e gli ittiti. Ma la popolazione più importante fu quella degli Hyksos. Durante il Secondo periodo intermedio, gli Hyksos governarono l'Egitto. Mantennero molte delle pratiche culturali, ma introdussero numerose innovazioni, come le bighe trainate dai cavalli. Gli Hyksos guidarono l'Egitto per circa 100 anni finché Ahmose I, un re egizio che governava dall'Egitto meridionale, non li sconfisse e riunì l'Egitto. 
A occidente, l'Egitto entrò in guerra con le tribù del Libano, in particolare i Tehenu e i Temehu. Questi cercarono di penetrare nel territorio del delta egiziano, ma furono sconfitti da Sethos I. Per tenere a bada le tribù occidentali, furono costruiti dei <link=""#Defenses_Title""><u>forti</u></link>. 
Infine, il potente Impero Romano raggiunse la terra d'Egitto durante il regno dei Tolomei. La scarsa forza militare egizia e la sua ricchezza in oro e risorse naturali (per non parlare della fuggevole Cleopatra VII) attirarono l'attenzione di Giulio Cesare e dei suoi successori. L'arrivo delle legioni di Cesare sul suolo egizio segnò l'inizio della fine del lungo dominio egizio sul Mediterraneo e infine ridusse l'orgoglioso Egitto a una semplice provincia romana. 
Clicca <link=""#Military_Title""><u>qui</u></link> per ulteriori informazioni sull'esercito egizio."
Encyclo/#Enemies_Title;Text;;Enemies;Ennemis;Enemigos;Feinde;Nemici
